;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"250,6932140225004";"298,87880296341825";"299,6488615347936";"298,2473317344657";"250,84099108068844";"298,6548106358963";"299,3956948198853";"300,41593588567264";"299,8190141716957";"300,88611777939195"
"WorstSolution";"149,5049420473848";"149,13973452447473";"149,75118816607053";"150,52218561857399";"198,47213016241997";"149,30606664189384";"197,36524939502306";"149,3121814783564";"150,07505728244664";"150,11184812211292"
"Average";"207,1969818507394";"224,70931974596738";"224,61974195055686";"224,29981171366967";"214,41696266412413";"209,81354579260724";"221,980435155761";"229,94219159308403";"222,10766922968818";"229,75516909519814"
"StandardDeviation";"28,504835706145727";"36,99266325894965";"43,02728924460028";"33,187652539919185";"23,152585151966203";"33,76013638646442";"29,55201964655735";"48,434074497263744";"36,84013491145676";"36,80319198102059"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"300,23130895209357";"300,4858012537252";"252,43751863656675";"250,77820760281608";"251,18319328360138";"299,5324655757338";"251,04324120920887";"250,25156651467753";"251,99109773040524";"299,6488615347936"
"WorstSolution";"148,89425240612422";"149,13973452447473";"198,1990233085605";"149,1317707107733";"149,66122436261367";"149,86098605256285";"151,68048655043947";"198,53824667802851";"149,26228631426014";"149,78181886846227"
"Average";"222,21684835872074";"212,30985738111866";"220,02663713367042";"214,92843826245152";"214,6678498608162";"222,01768207578044";"219,87270551853294";"231,89999088275772";"207,4778989986775";"232,30259107543588"
"StandardDeviation";"45,672402292661324";"38,36270933041533";"24,43024570303999";"35,462174903159045";"31,861332804027526";"40,042258181989986";"32,4407970242803";"23,664027884422573";"32,86008188461992";"42,49065855514711"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"299,3097145745791";"250,22687234782444";"299,28102370343464";"299,22177082644174";"298,4136112958203";"301,54102171807483";"298,72428962710484";"251,31719195648927";"250,87897124571586";"250,75793174377876"
"WorstSolution";"149,0532754239308";"149,44244904205783";"148,47229272835642";"149,0532754239308";"149,54915634480707";"149,30606664189384";"198,25908209301895";"150,6007499739233";"150,07505728244664";"149,86098605256285"
"Average";"214,51655726345734";"214,5473751387833";"207,2063530707514";"224,74627024136666";"229,40552550155525";"220,13009741702058";"233,8218849397445";"212,318172751965";"219,75689013661335";"214,60175326147365"
